neighbourhood_group,neighbourhood
,Amager st
,Amager Vest
,Bispebjerg
,Brnshj-Husum
,Frederiksberg
,Indre By
,Nrrebro
,sterbro
,Valby
,Vanlse
,Vesterbro-Kongens Enghave
